 ✔ Container stash Running                                                                                                     0.0s
Attaching to stash
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] pip attempt #1 succeeded 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] restarting process with venv python: /root/.stash/plugins/stash_renamer/.venv_runtime/bin/python 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] acquired preflight lock 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] starting preflight; python=/usr/bin/python3 version=3.12.13 (main, Apr 10 2026, 13:58:11) [GCC 15.2.0] 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] requirements path: /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] in_virtualenv: False 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] usersite: /root/.local/lib/python3.12/site-packages 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] sites: ['/usr/lib/python3.12/site-packages'] 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] sys.path entries: 6 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] not running inside virtualenv; bootstrapping local venv 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] venv requirements are up to date 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] restarting process with venv python: /root/.stash/plugins/stash_renamer/.venv_runtime/bin/python 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] acquired preflight lock 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] starting preflight; python=/usr/bin/python3 version=3.12.13 (main, Apr 10 2026, 13:58:11) [GCC 15.2.0] 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] requirements path: /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] in_virtualenv: False 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] usersite: /root/.local/lib/python3.12/site-packages 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] sites: ['/usr/lib/python3.12/site-packages'] 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] sys.path entries: 6 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] not running inside virtualenv; bootstrapping local venv 
stash  | ERRO[2026-04-23 19:03:16] [Plugin / Scene Renamer] [runtime_preflight] venv requirements are up to date 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] restarting process with venv python: /root/.stash/plugins/stash_renamer/.venv_runtime/bin/python 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] acquired preflight lock 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] starting preflight; python=/root/.stash/plugins/stash_renamer/.venv_runtime/bin/python version=3.12.13 (main, Apr 10 2026, 13:58:11) [GCC 15.2.0] 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] requirements path: /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] in_virtualenv: True 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] usersite: /root/.local/lib/python3.12/site-packages 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] sites: ['/root/.stash/plugins/stash_renamer/.venv_runtime/lib/python3.12/site-packages'] 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] sys.path entries: 6 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] parsed requirements: python-liquid, requests, watchdog 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] all requirements already installed and importable 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] requirements installation validated successfully 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] acquired preflight lock 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] released preflight lock 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] starting preflight; python=/root/.stash/plugins/stash_renamer/.venv_runtime/bin/python version=3.12.13 (main, Apr 10 2026, 13:58:11) [GCC 15.2.0] 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] requirements path: /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] in_virtualenv: True 
stash  | ERRO[2026-04-23 19:03:17] [Plugin / Scene Renamer] [runtime_preflight] usersite: /root/.local/lib/python3.12/site-packages 
